Stimulus,CID,IsomericSMILES,Descriptors,sweet,floral,minty,pungent
143764-28-7,6428938,CC(CC(=O)C)SC,pungent,0,0,0,1
185429-83-8,17839537,CC1C2=C(CCCC2(C)C)CCC1(C)C(=O)C,floral;woody;amber,0,1,0,0
109682-87-3,528707,CC1C(C(=O)C(=C1C)O)C,sweet;spicy;caramellic;maple;coffee;burnt;bready;licorice,1,0,0,0
108861-12-7,11435352,CCCCCC[C@@H]1CCCC(=O)O1,sweet;fruity;creamy,1,0,0,0
122-72-5,31226,CC(=O)OCCCC1=CC=CC=C1,sweet;spicy;cinnamon;honey;fruity;cinnamyl;balsamic;storax;hay,1,0,0,0
881-68-5,61229,CC(=O)OC1=C(C=C(C=C1)C=O)OC,sweet;vanilla;powdery;creamy;heliotrope,1,0,0,0
1551-44-6,243783,CCCC(=O)OC1CCCCC1,apple;fruity;pineapple;floral,0,1,0,0
1222-05-5,91497,CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C,sweet;floral;musk,1,1,0,0
92046-48-5,174845,CCC12CCC(C1)C(C2)C3(CCCCC3)O,floral;lily;muguet;magnolia,0,1,0,0
63885-09-6,104307,CC(C)CCCCC=O,juicy;sweet;orange;fresh;green,1,0,0,0
644-08-6,12566,CC1=CC=C(C=C1)C2=CC=CC=C2,anise;spicy;floral;cooling;minty;wintergreen;tarragon;waxy,0,1,1,0
2679-87-0,17586,CCC(C)OCC,floral;woody;berry,0,1,0,0
97-42-7,7335,CC1=CCC(CC1OC(=O)C)C(=C)C,sweet;rummy;spicy;nasturtium;spearmint;grape;herbal;fruity;pear;green;minty,1,0,1,0
498-00-0,62348,COC1=C(C=CC(=C1)CO)O,sweet;vanilla;caramellic;coconut;powdery;creamy;phenolic;tonka;milky;graham cracker,1,0,0,0
536-59-4,10819,CC(=C)C1CCC(=CC1)CO,sweet;spicy;floral;violet;cardamom;orange peel;green;woody;waxy;cumin;aromatic,1,1,0,0
134769-33-8,6450538,C=CCCCCCCC/C=C/CC#N,sweet;aldehydic;tangerine;fresh;watery;citrus,1,0,0,0
53447-47-5,71587170,C[C@@H](C=O)[C@H]1CC[C@@](O1)(C)C=C,sweet;flowery,1,0,0,0
68480-11-5,109415,C1CC2C(C1)C3CC2CC34CCCO4,rhubarb;floral;vetiver;grapefruit peel;fresh;citrus;gardenia,0,1,0,0
141-13-9,98403,CC(CCCC(C)C=O)CCC=C(C)C,aldehydic;lily of the valley;marine;floral;rose;fresh;incense;watery;waxy,0,1,0,0
39736-25-9,101315,CCCCCCCOC(=O)CC1=CC=CC=C1,sweet;foliage;honey;verbena;lemongrass;citrus,1,0,0,0
2050-01-3,519786,CC(C)CCOC(=O)C(C)C,cherry;sweet;banana unripe banana;estery;grape;cocoa;fruity;apple;green;ethereal;tropical;waxy,1,0,0,0
109-21-7,7983,CCCCOC(=O)CCC,sweet;ripe;banana;fruity;pineapple;juicy fruit;fresh;green;cherry;fruit tropical fruit;fruit ripe fruit,1,0,0,0
1582789-90-9,89422368,CCNC(=O)C1CC(CCC1C(=C)C)C,minty,0,0,1,0
93893-89-1,104453,CC(=CC#N)CCC1=CC=CC=C1,cinnamon;floral;rose;fruity;lemongrass;balsamic;citrus,0,1,0,0
29895-73-6,78476,C1C(COC(O1)CC2=CC=CC=C2)O,petitgrain;leafy;rose dried rose;floral;honey;lavender;powdery;green;rose tea rose;hyacinth,0,1,0,0
76649-26-8,6429325,CC/C=C/C/C=C/CCOC(=O)C,sweet;melon;fruity;cucumber;pear;fresh;green;waxy,1,0,0,0
1271488-66-4,15775286,CCCCC[C@H]1[C@@H](CCC1=O)C(=O)OC,floral;rose;muguet;green;jasmin,0,1,0,0
3155-71-3,5369997,CC1=C(C(CCC1)(C)C)C/C=C(\C)/C=O,sweet;dry;leafy;floral;woody;nutty;violet;tobacco;boronia;hay,1,1,0,0
20665-85-4,539829,CC(C)C(=O)OC1=C(C=C(C=C1)C=O)OC,sweet;vanilla;caramellic;fruity;creamy;chocolate,1,0,0,0
15111-56-5,85803,CCOC(=O)C1CCC=CC1,sweet;fruity;floral;ylang,1,1,0,0
68555-60-2,110542,CCCCCC#CC(=O)OCCC(C)C,sweet;leafy;violet;green,1,0,0,0
42370-07-0,162512,CC(=O)C1C2CCC(C2)C1(C)C,herbal;camphoreous;apple;woody;minty,0,0,1,0
111-30-8,3485,C(CC=O)CC=O,fruity;pungent;medicinal,0,0,0,1
10031-87-5,61448,CCC(CC)COC(=O)C,sweet;musty;banana;fruity;oily;ethereal,1,0,0,0
120-57-0,8438,C1OC2=C(O1)C=C(C=C2)C=O,sweet;vanilla;almond bitter almond;custard;spicy;floral;cherry maraschino cherry;cinnamyl;creamy;cherry;tropical,1,1,0,0
23283-97-8,45056,C[C@@H]1CC[C@@H]([C@H](C1)O)C(C)C,sweet;musty;herbal;camphoreous;earthy;hay,1,0,0,0
2565-82-4,5365849,CC(=CCC/C(=C/COC)/C)C,floral;sweet;rose,1,1,0,0
3586-14-9,19165,CC1=CC(=CC=C1)OC2=CC=CC=C2,floral;geranium;fruity;rose,0,1,0,0
60523-21-9,62166,CCOC(=O)C(C)C=C=C,sweet;earthy;rummy;berry;strawberry;fruity;green;tropical;tutti frutti,1,0,0,0
61531-45-1,109095,CCCCCCCCC(=O)OCCCCC,floral;cognac;apricot,0,1,0,0
30100-15-3,100495,CCCCCOC(=O)C1=CC=CC=C1N,floral;grape;orchid,0,1,0,0
67663-01-8,106756,CCCCCCC1C(CC(=O)O1)C,buttery;floral;fruity;oily;green;lactonic;tropical;peach;waxy,0,1,0,0
97-64-3,7344,CCOC(=O)C(C)O,sweet;butterscotch;fruity;acidic;tart;brown;ethereal;buttery;sharp,1,0,0,0
600-14-6,11747,CCC(=O)C(=O)C,sweet;caramellic;nutty;creamy;toasted;pungent;cheesy;buttery,1,0,0,1
111-55-7,8121,CC(=O)OCCOC(=O)C,floral;estery;alcoholic;green,0,1,0,0
4396-62-7,15553243,CCSC(=O)CNC(=O)C,meaty;pungent,0,0,0,1
98-01-1,7362,C1=COC(=C1)C=O,sweet;caramellic;bready;bread baked;brown;phenolic;almond;woody,1,0,0,0
2186-92-7,75140,COC1=CC=C(C=C1)C(OC)OC,elderflower;lilac;floral;hawthorn;jasmin,0,1,0,0
53082-58-9,6437020,CCC(C)CCOC(=O)/C(=C\C)/C,seedy;floral;chamomile;woody;celery,0,1,0,0
1576-87-0,5364752,CC/C=C/C=O,fruity;apple;orange;green;tomato;pungent,0,0,0,1
623-15-4,212930,CC(=O)C=CC1=CC=CO1,sweet;vanilla;spicy;cinnamon;warm;nutty;powdery;creamy;anisic;balsamic;coumarinic,1,0,0,0
592-82-5,11613,CCCCN=C=S,pungent;sulfurous;green,0,0,0,1
928-97-2,5284503,CC/C=C/CCO,leafy;cortex;floral;petal;privet;oily;green;earthy,0,1,0,0
91-50-9,101555,CC(C)C1=CC=C(C=C1)CC(C)C=NC2=CC=CC=C2C(=O)OC,lily of the valley;floral;fresh;neroli;orangeflower,0,1,0,0
2174-16-5,25213,C1=CC=C(C(=C1)C(=O)O)O.C(CO)N(CCO)CCO,dull;pleasant;sweet,1,0,0,0
645-67-0,221069,CCCOC(=O)CCC(=O)C,sweet;caramellic,1,0,0,0
75640-26-5,3018936,CC1CCC2=C(C(=O)OC2=C1)C,sweet;coumarinic;coconut;lactonic,1,0,0,0
123-63-7,31264,CC1OC(OC(O1)C)C,sweet;aromatic,1,0,0,0
103-45-7,7654,CC(=O)OCCC1=CC=CC=C1,sweet;yeasty;floral;honey;rose;fruity;cocoa;balsamic;tropical,1,1,0,0
68804-02-4,53425201,CC1CC2C(C2(C)C)CC1=CCC#N,floral;rose;sandalwood;geranium;woody,0,1,0,0
28645-51-4,5355293,C1CCC/C=C\CCCCCCOC(=O)CCC1,sweet;fatty;fruity;ambrette;musk;waxy,1,0,0,0
