SMILES,pungent,sweet,floral,mint
CC(C)=CCCC(C)CCO,0,0,1,0
CC1CCC(C(C)C)C(=O)C1,0,0,0,1
CCCCCCCCCC=O,0,1,0,0
Cc1occc(=O)c1O,0,1,0,0
OCCc1ccccc1,0,0,1,0
C=CC(C)(O)CCC=C(C)C,0,0,1,0
CC1=CCC(=C(C)C)CC1,0,1,0,0
C=CC(C)(CCC=C(C)C)OC(C)=O,0,1,0,0
CCCC=O,1,0,0,0
CC1=CCC(C(C)(C)O)CC1,0,0,1,0
CC(C)CCOC(=O)CC(C)C,0,1,0,0
CC(C)=CCC/C(C)=C\CO,0,1,0,0
CC(=O)OC/C=C(/C)CCC=C(C)C,0,0,1,0
CCOC(=O)C1OC1(C)c1ccccc1,0,0,1,0
O=C(OCc1ccccc1)c1ccccc1,0,0,1,0
CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,0,1,1,0
CC(=O)OC/C=C(\C)CCC=C(C)C,0,0,1,0
O=C(O)Cc1ccccc1,0,1,1,0
CC(=O)OCc1ccccc1,0,1,1,0
COc1ccc(C=O)cc1,0,1,1,0
CC(C)=CCC/C(C)=C/CO,0,1,1,0
CNc1ccccc1C(=O)OC,0,1,0,0
CCC(=O)O,1,0,0,0
C=Cc1ccccc1,0,0,1,0
CC(=O)/C=C/C1C(C)=CCCC1(C)C,0,0,1,0
CCCCCCCCCO,0,0,1,0
CC(=O)CCc1ccc(O)cc1,0,1,0,0
O=CCc1ccccc1,0,0,1,0
CCC(=O)OCc1ccccc1,0,0,1,0
C/C=C/c1ccc(OC)cc1,0,1,0,0
CCCCCCCCCCO,0,0,1,0
c1ccc2[nH]ccc2c1,0,0,1,0
CC(C)C(=O)OCCc1ccccc1,0,0,1,0
C=C(C)C1CC=C(C)C(OC(C)=O)C1,0,0,0,1
CC1=C(O)C(=O)OC1C,0,1,0,0
CCCCCCCCCCCCO,0,0,1,0
CC(C)COC(=O)c1ccccc1O,0,0,1,0
CC(C)=C1CC[C@@H](C)CC1=O,0,0,0,1
CC(=O)/C(C)=C/C1C(C)=CCCC1(C)C,0,0,1,0
CC(C)(O)Cc1ccccc1,0,0,1,0
CCOC(=O)C1OC1c1ccccc1,0,1,0,0
CC(C)=CCCC(C)CCOC=O,0,0,1,0
CC(=O)c1ccc(C)cc1,0,0,1,0
CC/C=C\CCOC(=O)c1ccccc1,0,0,1,0
CCC(=O)C(C)=O,0,1,0,0
COC(=O)c1ccccc1,0,0,1,0
COc1cc(CCC(C)=O)ccc1O,0,1,0,0
CCOC(=O)c1ccccc1O,0,1,1,0
CC(C)C=O,1,0,0,0
CCCCCCC1CCC(=O)O1,0,1,0,0
CCCCOC(=O)CC,0,1,0,0
O=C(Cc1ccccc1)OCCc1ccccc1,0,0,1,0
CCc1occc(=O)c1O,0,1,0,0
CCC(C)C1CCCCC1=O,0,0,0,1
CCCCCCCCCCCC(=O)OCC,0,1,1,0
C=CCN=C=S,1,0,0,0
C=C(C)C1CCC(C)C(=O)C1,0,0,0,1
CC(C)[C@@H]1CC[C@@H](C)CC1=O,0,0,0,1
CCCCCCOC(=O)CC(C)C,0,1,0,0
CCCOC(=O)CC,0,1,0,0
C/C=C/c1ccc(O)c(OC)c1,0,0,1,0
O=C(Cc1ccccc1)OCc1ccccc1,0,0,1,0
CCC(=O)OC/C=C(\C)CCC=C(C)C,0,0,1,0
CC1=CCC(=O)O1,0,1,0,0
C=CCOC(=O)CCC1CCCCC1,0,1,0,0
CCCCCCC#CC(=O)OC,0,0,1,0
C=CC(C)CCCC(C)(C)O,0,0,1,0
CCC(C)CCCC(C)(C)O,0,0,1,0
CCC/C=C/C(=O)O,0,1,0,0
COC(=O)Cc1ccccc1,0,1,1,0
CCC1CCC(=O)O1,0,1,0,0
CCCCC1CCC(=O)O1,0,1,0,0
CCCCCCCCCCCC=O,0,0,1,0
